Month,Year,"OIL COMPANIES","Quantity (000 Metric Tonnes)"
September,2022,CPCL-TOTAL,961.61
September,2022,"BPCL-KOCHI, KERALA",1155.88
September,2022,"MRPL-MANGALORE,KARNATAKA",1329.62
September,2022,"ONGC TOTAL",1336.44
September,2022,"HPCL-VISAKH,ANDHRA PRADESH",814.04
September,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",1838.73
October,2022,BORL-BINA,705.16
October,2022,"HPCL-MUMBAI,MAHARASHTRA",761.39
October,2022,"RIL,JAMNAGAR,GUJARAT",2931.62
November,2022,"IOCL-PANIPAT, HARYANA",699.93
November,2022,"IOCL-GUWAHATI,ASSAM",89.34
November,2022,"IOCL TOTAL",5796.21
November,2022,"MRPL-MANGALORE,KARNATAKA",1461.60
November,2022,"HPCL-VISAKH,ANDHRA PRADESH",801.28
November,2022,"HMEL-GGSR, BATHINDA, PUNJAB",978.05
November,2022,"NEL-VADINAR,GUJARAT",25.55
November,2022,"GRAND TOTAL",19580.02
December,2022,"IOCL-HALDIA, WEST BENGAL",731.49
December,2022,"IOCL TOTAL",6161.15
December,2022,"BPCL-KOCHI, KERALA",1506.63
December,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2467.05
December,2022,"RIL TOTAL",5307.90
January,2023,"IOCL-KOYALI, GUJARAT",1259.75
January,2023,"IOCL-HALDIA, WEST BENGAL",704.67
January,2023,"IOCL-DIGBOI,ASSAM",62.73
January,2023,"IOCL-BONGAIGAON,ASSAM",253.07
January,2023,"NRL-NUMALIGARH, ASSAM",284.05
January,2023,"GRAND TOTAL",22809.58
February,2023,"IOCL-MATHURA, UTTAR PRADESH",740.61
February,2023,"IOCL-PANIPAT, HARYANA",1208.35
February,2023,"BPCL-KOCHI, KERALA",1406.51
February,2023,"RIL,JAMNAGAR,GUJARAT",2575.91
February,2023,"NEL-VADINAR,GUJARAT",1568.22
March,2023,"IOCL-BONGAIGAON,ASSAM",257.73
March,2023,"BPCL-KOCHI, KERALA",1542.02
March,2023,BPCL-TOTAL,3636.00
March,2023,"NRL-NUMALIGARH, ASSAM",205.02
March,2023,"ONGC TOTAL",1507.19
March,2023,"HPCL-MUMBAI,MAHARASHTRA",873.83
March,2023,"HPCL-VISAKH,ANDHRA PRADESH",874.03
April,2021,BORL-BINA,648.00
April,2021,"NRL-NUMALIGARH, ASSAM",221.00
April,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00
April,2021,"ONGC TOTAL",1107.00
April,2021,"HPCL-MUMBAI,MAHARASHTRA",41.00
April,2021,"RIL,JAMNAGAR,GUJARAT",2773.00
May,2021,"IOCL-KOYALI, GUJARAT",1042.00
May,2021,"IOCL-HALDIA, WEST BENGAL",624.00
May,2021,"IOCL-DIGBOI,ASSAM",61.00
May,2021,"BPCL-KOCHI, KERALA",910.00
May,2021,BORL-BINA,519.00
May,2021,"MRPL-MANGALORE,KARNATAKA",961.00
May,2021,"ONGC TOTAL",968.00
May,2021,"HPCL-VISAKH,ANDHRA PRADESH",737.00
June,2021,"BPCL-MUMBAI, MAHARASHTRA",1029.00
June,2021,"BPCL-KOCHI, KERALA",1016.00
June,2021,"MRPL-MANGALORE,KARNATAKA",1010.00
June,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1063.00
June,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2530.00
July,2021,"CPCL-MANALI, TAMILNADU",819.00
July,2021,BORL-BINA,623.00
July,2021,"RIL,JAMNAGAR,GUJARAT",2743.00
July,2021,"RIL TOTAL",5027.00
July,2021,"NEL-VADINAR,GUJARAT",1677.00
August,2021,"IOCL-MATHURA, UTTAR PRADESH",643.00
August,2021,"BPCL-MUMBAI, MAHARASHTRA",1286.00
August,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1112.00
September,2021,"IOCL-DIGBOI,ASSAM",60.00
September,2021,"IOCL-BONGAIGAON,ASSAM",219.00
September,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00
September,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1079.00
September,2021,"RIL,JAMNAGAR,GUJARAT",2841.00
September,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2361.00
October,2021,"IOCL-PANIPAT, HARYANA",1315.00
October,2021,"IOCL-PARADIP,ODISHA",877.00
October,2021,"CPCL-MANALI, TAMILNADU",500.00
October,2021,BPCL-TOTAL,3213.00
October,2021,"HPCL-MUMBAI,MAHARASHTRA",535.00
October,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2644.00
November,2021,"IOCL-HALDIA, WEST BENGAL",708.00
November,2021,"IOCL-GUWAHATI,ASSAM",83.00
November,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00
November,2021,"MRPL-MANGALORE,KARNATAKA",1468.00
December,2021,"IOCL-BARAUNI,BIHAR",602.00
December,2021,"IOCL-PANIPAT, HARYANA",1298.00
December,2021,"IOCL TOTAL",5905.00
December,2021,"CPCL-MANALI, TAMILNADU",840.00
December,2021,CPCL-TOTAL,840.00
December,2021,"MRPL-MANGALORE,KARNATAKA",1434.00
December,2021,"RIL,JAMNAGAR,GUJARAT",3019.00
December,2021,"NEL-VADINAR,GUJARAT",1710.00
January,2022,"IOCL-GUWAHATI,ASSAM",92.00
January,2022,CPCL-TOTAL,915.00
January,2022,"NRL-NUMALIGARH, ASSAM",272.00
January,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00
February,2022,"IOCL-GUWAHATI,ASSAM",82.00
February,2022,"IOCL TOTAL",5785.00
February,2022,CPCL-TOTAL,928.00
February,2022,"BPCL-MUMBAI, MAHARASHTRA",1236.00
